nom,ville,code_postal,adresse,telephone,email,site_web,statut,date_premier_contact,date_relance,canal,notes
L'Atelier Joaillier,Lyon,69002,1 rue Émile Zola,04 78 85 39 87,contact@latelierjoaillier.com,https://www.latelierjoaillier.com/,à contacter,,,,Atelier artisanal créé par 2 joailliers - proche Bellecour
Atelier d'Or,Charbonnières-les-Bains,69260,,,,https://www.atelier-or.com/,à contacter,,,,MOF 2018 - artisan joaillier près de Lyon
Atelier MAS,Lyon,69006,18 rue Pierre Corneille,,,https://bijouterie-ateliermas.com/,à contacter,,,,Créé en 2015 - Lyon 6
Tiara Milo,Lyon,69002,,,,https://www.tiaramilo.com/,à contacter,,,,Sur-mesure - artisanat d'exception
Rémy Challier,Lyon,69002,Passage de l'Argue,,,https://remychallier.com/,à contacter,,,,Joaillier créateur sur-mesure - Presqu'île
Maison Favier / Les Ateliers Joailliers,Lyon,69004,28 Grand Rue de la Croix-Rousse,09 83 93 28 68,,https://maisonfavier.com/,à contacter,,,,Artisan joaillier depuis 1995 - 100% français
Antoine Puygrenier,Lyon,69002,,,,https://antoinepuygrenier.com/,à contacter,,,,Atelier Presqu'île - sur RDV uniquement - bijoux faits main
Cécile Crepellière Bijou,Lyon,69005,,,,https://cecilecrepellierebijou.com/,à contacter,,,,Atelier Vieux Lyon
Ph. Tisseront,Tassin-la-Demi-Lune,69160,,,,https://www.tisseront.com/,à contacter,,,,Atelier de joaillerie Lyon Tassin
Bijouterie créateur Chenavard,Lyon,69001,26 rue Paul Chenavard,04 78 37 62 15,,,à contacter,,,,Bijoutier créateur sur mesure et gravure
Maison Rey-Coquais,Lyon,69001,5 place Griffon,,,,à contacter,,,,Depuis 1903 - quais de Saône - bijoux faits main
Bijouterie 49 République,Lyon,69002,49 rue de la République,,,,à contacter,,,,Depuis 1964 - showroom 10h-19h
Charles Arteon Joaillier,Lyon,69006,57 rue Masséna,09 88 02 88 79,,https://www.charlesarteon.com/,à contacter,,,,Création joaillerie sur-mesure - réparation/transformation
Bosle Joaillier,Lyon,69002,9 rue Childebert,04 78 72 31 93,,https://bosle.fr/,à contacter,,,,Maison Bosle depuis 1936 - joaillier horloger - 4.7/5
Garel Joaillier Créateur,Lyon,69005,62 avenue du Point du Jour,04 78 25 45 81,contact@bijouterie-garel.fr,https://www.bijouterie-garel.fr/,à contacter,,,,Expert bijouterie de mariée - créations sur-mesure
Garel Joaillier Créateur Écully,Écully,69130,Carrefour Grand Ouest,04 78 33 52 85,contact@bijouterie-garel.fr,https://www.bijouterie-garel.fr/,à contacter,,,,2e boutique Garel - centre commercial
La Maison Celinni,Lyon,69000,,,,,à contacter,,,,Diamantaires - collections diamants (à enrichir)
La Maison de l'Or et des Diamants,Lyon,69008,44 avenue des Frères Lumière,,,,à contacter,,,,
L'Atelier Lyonnais,Lyon,69000,,,,,à contacter,,,,Bijouterie fantaisie - polymère - styles gourmand/graphique/bohème
Dalatta Bijoux,Lyon,69000,,,,,à contacter,,,,Bijoux fantaisie faits main - or végétal et pierres semi-précieuses
Fabrice Corbin Bijoutier Joaillier,Dijon,21000,,,,https://www.fabricecorbin.fr/,à contacter,,,,Créateur - propose ateliers découverte du métier
Pascal Pasternak Joaillier,Dijon,21000,84 rue de la Liberté,,,,à contacter,,,,Diplômé École du Louvre et CFH Lausanne - tradition joaillière
Bijouterie Carry,Dijon,21000,,,,https://www.bijouteriecarry.fr/,à contacter,,,,3 ateliers attenants - bijouterie/horlogerie/gravure - depuis 1930 (père en fils)
Bijouterie André Ferney,Dijon,21000,25 place Bossuet,03 80 30 34 53,,https://www.bijouterieferney.fr/,à contacter,,,,40 ans - création/restauration or et pierres précieuses - depuis 1983
AV Gem & Jewelry,Dijon,21000,,,,https://av-gemjewelry.com/,à contacter,,,,Atelier-boutique - centre Dijon - création/réparation/transformation
L'Atelier d'Amaya,Dijon,21000,,,,https://atelier-amaya.com/,à contacter,,,,Bijouterie Dijon
Atelier Mathias Rogier,Villapourcon,58370,,,,https://www.destinationdijon.com/patrimoine-culturel/atelier-mathias-rogier-bijoutier-joaillier/,à contacter,,,,Bijoutier joaillier - région Dijon
Bijouterie rue Condorcet,Dijon,21000,5 rue Condorcet,03 80 41 23 80,,,à contacter,,,,
Bijouterie rue des Godrans,Dijon,21000,61 rue des Godrans,03 80 52 36 57,,,à contacter,,,,
Joaillerie Philippe Todesco,Dijon,21000,12 place des Ducs de Bourgogne,03 80 30 93 83,,https://www.antiquesjewels.fr/,à contacter,,,,Spécialisé bijoux anciens et occasion depuis 35 ans - expertise
Borde Joaillier,Dijon,21000,2-4 rue Rameau,03 80 67 17 80,,https://bordejoaillier.com/,à contacter,,,,Bijouterie/joaillerie réputée - 4.6/5 - sertissage/réparation
Atelier-Bijouterie Kwas,Dijon,21000,84 rue Vannerie,03 80 67 63 36,,,à contacter,,,,Fabricant de bijoux - création/transformation pièces uniques pierres précieuses
La Sco D'Or Joaillier,Dijon,21000,8 rue Michelet,,,,à contacter,,,,Création/transformation bijoux - mise en valeur pierres précieuses
Le Manège à Bijoux (E.Leclerc),Dijon,21000,7 rue de Cracovie,03 80 78 94 94,,,à contacter,,,,Centre commercial - moins prioritaire (grande surface)
Anne-Sophie Chalut-Natal,Dijon,21000,,,,,à contacter,,,,Bijoux en verre soufflé au chalumeau - argent - fait main
Le Jardin Des Nuages,Dijon,21000,41 quai François Galliot,,,,à contacter,,,,Bijouterie fantaisie - fabrication artisanale
