nom,ville,code_postal,adresse,telephone,email,site_web,statut,date_premier_contact,date_relance,canal,notes
L'Atelier A Nouer,Lyon,69001,13 B RUE BOUTEILLE,,,,à contacter,,,,NAF 32.13Z - SIREN 529291387 - créée 2016-12-08
Fetiches,Lyon,69001,11 RUE ROMARIN,,,,à contacter,,,,NAF 32.13Z - SIREN 981864127 - créée 2023-12-01
Laurence Oppermann,Lyon,69001,11 RUE D'ALGERIE,,,,à contacter,,,,NAF 32.13Z - SIREN 424079838 - créée 2022-02-14
Caro D'Emaux,Lyon,69001,4 RUE COUSTOU,,,,à contacter,,,,NAF 32.13Z - SIREN 515051837 - créée 2009-09-12
Anais Besse,Lyon,69001,37 RUE IMBERT COLOMES,,,,à contacter,,,,NAF 32.13Z - SIREN 517472346 - créée 2009-09-29
Sophie Mouleyre,Lyon,69001,22 RUE RENE LEYNAUD,,,,à contacter,,,,NAF 32.13Z - SIREN 517718102 - créée 2011-01-25
Helene Dumas,Lyon,69001,4 RUE CONSTANTINE,,,,à contacter,,,,NAF 32.13Z - SIREN 514117266 - créée 2019-01-11
Antoine Puygrenier,Lyon,69001,19 RUE PRESIDENT EDOUARD HERRIOT,,,,à contacter,,,,NAF 32.13Z - SIREN 514524958 - créée 2025-07-01
Eskhina,Lyon,69001,21 RUE D'ALSACE-LORRAINE,,,,à contacter,,,,NAF 32.13Z - SIREN 842709727 - créée 2025-05-08
Odiora,Lyon,69001,PASSAGE THIAFFAIT - ATELIER 16 19 RUE RENE LEYNAUD,,,,à contacter,,,,NAF 32.13Z - SIREN 852084698 - créée 2022-12-15
Sophie-Charlotte Heili,Lyon,69001,18 RUE IMBERT COLOMES,,,,à contacter,,,,NAF 32.13Z - SIREN 830564183 - créée 2020-08-03
Camille Camps,Lyon,69001,8 RUE DU PLATRE,,,,à contacter,,,,NAF 32.13Z - SIREN 934079559 - créée 2024-10-01
Ludmila,Lyon,69001,4 RUE MULET,,,,à contacter,,,,NAF 32.13Z - SIREN 889469201 - créée 2020-07-27
Coralie Busseret,Lyon,69001,2EME ETAGE 18 MONTEE SAINT SEBASTIEN,,,,à contacter,,,,NAF 32.13Z - SIREN 537878357 - créée 2011-11-01
Mathilde Venet,Lyon,69001,84 MONTEE DE LA GRANDE COTE,,,,à contacter,,,,NAF 32.13Z - SIREN 500706403 - créée 2007-10-29
Sabrina Arcent,Lyon,69001,3 MONTEE DES CARMELITES,,,,à contacter,,,,NAF 32.13Z - SIREN 510545080 - créée 2022-03-14
Maylis Prevost-Sansac De Traversay,Lyon,69001,3EME ETAGE 1 RUE JEAN-BAPTISTE SAY,,,,à contacter,,,,NAF 32.13Z - SIREN 950972323 - créée 2023-03-27
Atelier Audiard,Lyon,69001,23 RUE SGT BLANDAN,,,,à contacter,,,,NAF 32.13Z - SIREN 893031088 - créée 2021-01-05
Estelle Maurin,Lyon,69001,6 RUE MULET,,,,à contacter,,,,NAF 32.13Z - SIREN 901185306 - créée 2025-09-01
Honeyandmilk,Lyon,69001,106 MONTEE DE LA GRANDE COTE,,,,à contacter,,,,NAF 32.13Z - SIREN 793955675 - créée 2013-04-01
L Atelier Des S,Lyon,69001,11 RUE PUITS GAILLOT,,,,à contacter,,,,NAF 32.13Z - SIREN 903997146 - créée 2021-10-08
Or Du Monde,Lyon,69001,2 QUAI DE LA PECHERIE,,,,à contacter,,,,NAF 47.77Z - SIREN 795316785 - créée 2022-03-07
Arxe,Lyon,69001,7 RUE CONSTANTINE,,,,à contacter,,,,NAF 47.77Z - SIREN 477847511 - créée 2004-09-01
Espace Marielle Girault,Lyon,69001,2 RUE DE THOU,,,,à contacter,,,,NAF 47.77Z - SIREN 521545798 - créée 2010-04-01
By So Sarl,Lyon,69001,4 RUE JOSEPH SERLIN,,,,à contacter,,,,NAF 47.77Z - SIREN 511794984 - créée 2018-09-01
L.E.B. International,Lyon,69001,7 RUE DE LA REPUBLIQUE,,,,à contacter,,,,NAF 47.77Z - SIREN 511957094 - créée 2016-09-27
Lyon Bijoux,Lyon,69001,19 RUE PDT EDOUARD HERRIOT,,,,à contacter,,,,NAF 47.77Z - SIREN 956514780 - créée 1956-01-01
Or Et Facon Bijouterie D Or Kel,Lyon,69001,23 RUE PAUL CHENAVARD,,,,à contacter,,,,NAF 47.77Z - SIREN 794333393 - créée 2015-06-29
Or Deco,Lyon,69001,25 RUE PRESIDENT EDOUARD HERRIOT,,,,à contacter,,,,NAF 47.77Z - SIREN 940630338 - créée 2025-02-07
Gas Bijoux,Lyon,69002,7 RUE DES ARCHERS,,,,à contacter,,,,NAF 47.78C - SIREN 440266765 - créée 2017-06-06
Petits Tresors,Lyon,69002,3 COURS CHARLEMAGNE,,,,à contacter,,,,NAF 70.10Z - SIREN 492093455 - créée 2024-10-01
Les Perles De Jouvence,Lyon,69002,4 RUE DU PLAT,,,,à contacter,,,,NAF 32.13Z - SIREN 824741870 - créée 2021-09-24
Nadka,Lyon,69002,21 RUE MERCIERE,,,,à contacter,,,,NAF 32.13Z - SIREN 513209775 - créée 2019-07-26
Samia Boudjadja,Lyon,69002,20 RUE AUGUSTE COMTE,,,,à contacter,,,,NAF 32.13Z - SIREN 519217996 - créée 2009-12-01
Anna Barioz,Lyon,69002,18 COURS CHARLEMAGNE,,,,à contacter,,,,NAF 32.13Z - SIREN 798923868 - créée 2015-10-15
